media_id,timestamp,views,permalink,caption
17916681885164503,2026-05-08T17:05:24+0000,154,https://www.instagram.com/reel/DYFdx8_Coia/,Adopted an AI hyena. Diary of an uber driver in 2026.
18180379582391238,2026-05-08T22:49:43+0000,124,https://www.instagram.com/reel/DYGDZ3ZSxe1/,Growing my social media from 0 in public.  What format still works in May 2026? 
18010566446904776,2026-05-09T07:23:59+0000,72,https://www.instagram.com/reel/DYG_3UBCtMe/,I tested 4 AI avatars. To find the best one.  ↳ Synthesia speaks 30+ languages (
18098478596035824,2026-05-09T17:18:19+0000,1640,https://www.instagram.com/reel/DYIEGWJiEex/,5 ways to stop burning Claude credits (May 2026 edition) 💜  Most people think Cl
18235133884308063,2026-05-10T06:30:02+0000,17,https://www.instagram.com/p/DYJexSrmw8n/,"I hired a full creative team with Calude. Put your content on autopilot, here is"
18208302055337011,2026-05-10T20:34:33+0000,67,https://www.instagram.com/reel/DYK-86dSgaR/,Here’s how I gained 100 followers in one day for my client and how you can too: 
17908871694225296,2026-05-10T22:34:57+0000,187,https://www.instagram.com/reel/DYLNE--hR7G/,Viral Korean AI trend  Comment tutorial if you want em to send you the prompts a
18370061137203562,2026-05-10T23:19:22+0000,140,https://www.instagram.com/reel/DYLR0-0vAky/,Viral Korean KBO broadcast trend Tutorial   What you’ll need:  Chat GPT 2 or nan
18101428106073289,2026-05-11T12:07:15+0000,61,https://www.instagram.com/reel/DYMpzQeiM9A/,How to do this AI baseball trend in a few steps with prompts with Chat GPT and K
17983913855825560,2026-05-12T21:06:04+0000,200,https://www.instagram.com/reel/DYQMLx-yCZP/,Viral baseball AI trend but make it spicy 🌶️  #Aitrend  My real workflow:  1. Ch
18162627664447353,2026-05-12T21:09:18+0000,112,https://www.instagram.com/reel/DYQMaXnSIDO/,How to NOT do the baseball AI  trend  Watch till the end to find out why some pr
17989548035978682,2026-05-12T22:28:51+0000,46,https://www.instagram.com/reel/DYQV-0YhYNq/,How to recreate these cute characters on yo ur video with AI in 3 steps   1. Go 
17872880028670045,2026-05-13T12:20:31+0000,16,https://www.instagram.com/p/DYR1PzuCNfJ/,Running out of content ideas ?  What to post?   Here’s the real strategy that I 
18108818812920792,2026-05-14T09:29:24+0000,123,https://www.instagram.com/reel/DYUF-d9C27X/,"How to not do the viral AI baseball trend unless you want to change your gender,"
